User Story,AQUSA VIOLATION,FP (Violate),FN (Violate )
As a collection manager or cataloger I want to be able to see who last edited a record and when.,Atomic, , 
As an end user I want to be able to search across all collections at once., , , 
As a cataloger and a collections manager I want Trident to support Duke Core so that metadata is consistent between collections.,"Atomic, Uniform", , 
As a collections manager I want required DC fields to be enforced so that all records have values for all required DC fields.,Uniform, , 
As a collections manager I want to be able to repeat repeatable DC Fields so that I can enter all of the relevant metadata., , , 
As a collection manager I want to be able to create controlled vocabularies so that they can be used as authority lists during metadata creation., , , 
As a cataloger I want authority lists to be easily accessible and contextually relevant so it is easy to use the authority.,Uniform, , 
As a collection manager I want to use external authority lists so I they can be used during metadata creation.,Uniform, , 
As a cataloger I want to be able to see/hear/watch/read the digital object I am cataloging so I don't have to move between multiple applications while I'm creating metadata.,"Atomic, Uniform", ,Atomic
As a cataloger I want to be able to see/hear/watch/read all components associated on the with an item on the create/update screen so I don't have to leave the form.,"Atomic, Uniform", ,Atomic
As a cataloger or collection manager I want to see all of the metadata for a record while I'm editing it so that I have the full context for the item I'm cataloging.,Atomic, , 
As a cataloger or collection manager I want to be able to edit an arbitrary number of Items at once so that I can make changes to all Items in a collection efficiently.,Atomic, , 
As a collection manager I want each record to have a status so I can track the progress of the records in the collection.,Uniform, , 
As a collection manager I want statuses to include a status that flags a record as having a problem so we can track issues as the arise.,Uniform, , 
As a cataloger I want Trident to support the UTF- character set so that I can use any character necessary when creating metadata.,Uniform,Minimal, 
As a collection manager I want to map fields in inherited metadata to Duke Core fields and import a spreadsheet and create records.,Atomic, , 
As a collection manager I want to import metadata and create records from a DCP digitazation guide.,Atomic, , 
As a Archivist I want bi-directional linking between items in the digital collections and EAD finding aids.,Uniform, , 
As a End User I want to be able to see the physical context of an Item in a digital collection (i.e. See inside this folder; EAD),Minimal, , 
As a Collection Manager I want my collection to be discoverable in the Catalog.,Uniform, , 
As a Digital Production User (DPU) I want to be able to create Components., ,Minimal, 
As a DPU I want to create Technical Metadata with for Component., , , 
As a cataloger or collection manager I want to be able to use a grid/spreadsheet style interface so I can edit Items quickly.,"Atomic, Uniform", , 
As a DPU I want to create Preservation Metadata for a Component., , , 
As a DPU I want to upload master surrogates to a Component., , , 

As a DPU I want to add one or more Components to an Item., , , 
As a DPU I want to create structural metadata for an Item so I can define the sequence of components.,Uniform, , 
"As a Digital Production Developer (DPD) I want to group components that require digitization so that I can create ""digitizable units"".", ,Minimal, 
As a DPU I want to check-out/check-in groups of Components.,Atomic, , 
As a DPD I want to verify the correctness and completeness of components so that I can ensure quality standards are met., , , 
As a DPD I want to capture digitization statistics so that I can monitor Operator efficiency and make projections for future projects., , , 
As a DPU I want Trident to create derivatives for me when I upload a Master.,Uniform, , 
As a User I want to monitor the progress of a digital collection project., , , 
As a cataloger I want to be able to save a record without all of the required metadata so that I can start a record with the metadata I have and come back to finish it later., , , 
As a user I want to see how many Items have been digitized., , , 
As a user I want to see how many digitized Items have been described., , , 
As a user I want to see how many Items have been published., , , 
As Collection Manager or Sponsor I want to describe the collection.,Atomic, , 
As a Preservation Librarian I want the relationship between masters and derivatives to be managed by the system so I don't have to.,Uniform,Atomic, 
As a Metadata Librarian I want to define the metadata schema for a collection., , , 
As a Metadata librarian I want to define Authorities to be used for specific fields in a collection MD Schema., , , 
As a Metadata Librarian I want to define validation rules for specific fields in a collection., , , 
As a Metadata Librarian I want validation rules enforced when MD is submitted.,Uniform, , 
As a user I want to be able to save a record only when the record has an identifier so that we don't end up with a bunch of empty records in the collection., , , 
As a cataloger I want a list of all of the records I have access to so I can get to work quickly.,Uniform, , 
As a collection manager I want to search for records based on status so I can track the progress of a collection.,Uniform, , 
As a cataloger or collection manager I want to be able to search for records based on all Duke Core fields., , , 
As a user I want to be able to publish records only when the record has a Title Identifier Type and Source., , , 
